0	1	6	10	12	9	16	17	22	26	21	28	28	21	18	16	18	11	11	17	9	15	12	14	7	6	5	4	3	2	5	2	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	2	12	8	16	16	10	11	8	17	18	20	18	21	21	10	17	14	20	14	11	11	15	12	8	5	4	8	5	2	3	6	6	2	4	3	2	2	1	2	2	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0
0	0	0	1	2	7	10	15	28	16	19	23	20	36	28	33	25	24	20	14	13	17	12	9	5	8	4	3	0	3	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	4	7	7	14	24	16	26	28	38	19	26	23	19	24	29	7	11	13	2	5	8	11	8	6	3	1	4	3	1	5	1	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	3	8	7	5	23	21	22	21	35	16	32	18	25	26	16	24	15	19	11	13	10	11	5	4	3	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	2	3	12	10	24	23	18	22	23	35	27	19	23	26	14	20	17	13	9	12	5	6	6	3	5	2	4	4	1	2	0	2	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	2	6	7	14	17	17	28	32	25	23	35	23	24	18	19	22	14	10	8	10	10	3	5	5	5	0	6	3	2	2	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	5	14	17	20	28	23	19	20	25	18	21	21	24	14	19	18	12	16	14	9	6	4	7	7	2	0	4	0	1	2	2	2	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0	1	8	6	10	19	22	21	18	21	29	23	20	22	20	25	19	21	9	19	11	4	4	10	5	2	4	6	4	3	3	2	0	1	2	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	5	6	3	8	10	8	9	17	19	24	21	17	16	17	17	21	23	8	15	14	16	19	14	7	4	10	8	4	5	3	5	5	4	3	1	1	3	1	2	0	1	2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0
0	0	1	3	4	5	13	9	7	8	14	13	15	10	9	13	5	17	16	22	13	16	9	12	18	14	17	9	8	12	9	6	6	13	9	5	5	3	1	2	1	6	4	4	0	2	2	0	1	1	2	0	0	0	0	0	0	0	0	0
0	0	1	2	4	9	12	13	12	18	22	14	14	21	24	23	13	23	23	13	18	17	14	11	10	8	10	13	9	6	1	4	4	0	3	1	0	1	1	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0
0	0	0	1	1	3	5	5	6	12	13	14	17	17	20	18	24	15	26	18	21	12	13	20	12	12	14	7	6	9	6	7	1	4	2	2	5	3	0	0	2	0	3	0	2	1	4	0	0	2	1	0	1	1	1	0	0	1	1	0
0	0	2	5	10	6	7	9	7	12	16	14	14	15	15	14	19	20	22	20	12	14	16	21	11	14	10	6	11	5	5	7	4	5	1	3	5	4	1	5	0	2	0	0	1	2	2	0	0	1	1	0	1	0	0	0	0	0	0	0
